epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.63956,0.66444,2.47311,1.18468,0.00907,0.98964,0.72223,0.46841,0.9237,3.0148,1.4641,0.00051677,0.00051677,0.00051677
2,8.22364,0.79575,1.50777,1.26498,0.73784,0.57513,0.66242,0.4326,1.00602,2.2593,1.75832,0.00103981,0.00103981,0.00103981
3,11.7677,0.82667,1.29969,1.25304,0.65818,0.67358,0.69512,0.45982,1.09768,2.10548,1.73823,0.00155229,0.00155229,0.00155229
4,15.2864,0.86488,1.24081,1.26813,0.44191,0.50777,0.39813,0.20376,1.46377,2.45652,2.10265,0.00161749,0.00161749,0.00161749
5,18.7746,0.84961,1.13698,1.25694,0.66529,0.74611,0.73216,0.46591,1.09547,1.72531,1.76571,0.00160099,0.00160099,0.00160099
6,22.2149,0.83529,1.0508,1.24534,0.59108,0.57513,0.59032,0.34656,1.30174,1.99717,1.9303,0.00158448,0.00158448,0.00158448
7,25.651,0.84488,1.01482,1.25889,0.68563,0.57632,0.66929,0.42751,1.24766,2.11272,2.00135,0.00156798,0.00156798,0.00156798
8,29.185,0.78106,0.90194,1.22423,0.57153,0.56995,0.60106,0.37683,1.28404,1.91877,2.12266,0.00155148,0.00155148,0.00155148
9,32.6249,0.78196,0.87274,1.20432,0.64385,0.63731,0.6449,0.42643,1.1024,1.56146,1.71785,0.00153497,0.00153497,0.00153497
10,36.058,0.77503,0.8108,1.20999,0.81326,0.73057,0.81017,0.56731,1.02953,1.17135,1.53975,0.00151847,0.00151847,0.00151847
11,39.513,0.76633,0.8201,1.19369,0.73282,0.76166,0.78098,0.43573,1.29528,1.36551,2.14142,0.00150197,0.00150197,0.00150197
12,42.997,0.83984,0.82979,1.28363,0.76028,0.72306,0.8068,0.58108,0.94817,1.18035,1.53694,0.00148546,0.00148546,0.00148546
13,46.4534,0.74275,0.74581,1.1804,0.79957,0.76477,0.80016,0.59213,0.90902,0.97252,1.40399,0.00146896,0.00146896,0.00146896
14,49.9191,0.70839,0.74265,1.15764,0.80369,0.76684,0.82714,0.5678,1.04955,1.05506,1.59183,0.00145246,0.00145246,0.00145246
15,53.3867,0.73879,0.72603,1.19753,0.78898,0.81367,0.83245,0.59831,0.90899,1.01899,1.36761,0.00143595,0.00143595,0.00143595
16,56.8768,0.7081,0.69375,1.1662,0.88762,0.8594,0.89841,0.66343,0.91542,0.8498,1.4063,0.00141945,0.00141945,0.00141945
17,60.3318,0.68549,0.63151,1.13582,0.91421,0.82822,0.91863,0.68271,0.826,0.75653,1.37417,0.00140295,0.00140295,0.00140295
18,63.8032,0.7118,0.63496,1.17017,0.85118,0.8594,0.89785,0.68505,0.84471,0.75654,1.37508,0.00138644,0.00138644,0.00138644
19,67.2394,0.66585,0.61786,1.13862,0.86581,0.73575,0.84231,0.64077,0.91894,1.00904,1.46872,0.00136994,0.00136994,0.00136994
20,70.6902,0.66854,0.63296,1.15948,0.76921,0.7944,0.8341,0.60851,0.94801,0.91599,1.53838,0.00135344,0.00135344,0.00135344
21,74.1789,0.69752,0.62487,1.14529,0.78457,0.75481,0.82176,0.58187,0.98359,1.06881,1.52801,0.00133693,0.00133693,0.00133693
22,77.6127,0.69335,0.6136,1.13629,0.84025,0.81759,0.89125,0.672,0.80512,0.83603,1.28182,0.00132043,0.00132043,0.00132043
23,81.0729,0.64286,0.59451,1.12216,0.82514,0.78241,0.83798,0.64333,0.84185,0.99272,1.35561,0.00130393,0.00130393,0.00130393
24,84.5735,0.61344,0.56229,1.10586,0.69321,0.70466,0.69835,0.46607,1.03045,1.20001,1.48362,0.00128742,0.00128742,0.00128742
25,88.0058,0.64869,0.60141,1.11945,0.88237,0.79275,0.88515,0.69756,0.74607,0.73483,1.26149,0.00127092,0.00127092,0.00127092
26,91.469,0.6669,0.61426,1.1378,0.8886,0.82658,0.91458,0.73042,0.72605,0.69527,1.22426,0.00125442,0.00125442,0.00125442
27,94.9032,0.66846,0.58726,1.14357,0.89631,0.86528,0.92656,0.74472,0.71806,0.6398,1.21554,0.00123791,0.00123791,0.00123791
28,98.4011,0.64505,0.55763,1.11449,0.84815,0.89712,0.8998,0.72815,0.7035,0.66018,1.23473,0.00122141,0.00122141,0.00122141
29,101.888,0.61632,0.54543,1.09093,0.85942,0.87047,0.88821,0.68609,0.75921,0.70292,1.31522,0.00120491,0.00120491,0.00120491
30,105.324,0.6366,0.57035,1.12901,0.86938,0.77202,0.87116,0.64818,0.91421,0.87208,1.42706,0.0011884,0.0011884,0.0011884
31,108.764,0.5898,0.5063,1.08372,0.89567,0.84513,0.90427,0.70366,0.85446,0.76851,1.37191,0.0011719,0.0011719,0.0011719
32,112.198,0.60663,0.49076,1.10077,0.8695,0.79405,0.87755,0.70397,0.77523,0.74378,1.31396,0.0011554,0.0011554,0.0011554
33,115.677,0.61946,0.52475,1.10178,0.93229,0.81347,0.90995,0.71229,0.79303,0.65087,1.31805,0.00113889,0.00113889,0.00113889
34,119.124,0.60653,0.54505,1.10349,0.92272,0.86615,0.9274,0.76494,0.67743,0.57424,1.19792,0.00112239,0.00112239,0.00112239
35,122.555,0.61872,0.49544,1.10769,0.86871,0.89119,0.92053,0.76884,0.63874,0.58273,1.14976,0.00110589,0.00110589,0.00110589
36,125.983,0.61339,0.51783,1.10228,0.87232,0.88497,0.9153,0.74735,0.67922,0.61681,1.22346,0.00108938,0.00108938,0.00108938
37,129.461,0.6362,0.55042,1.10064,0.91644,0.85238,0.93188,0.7585,0.68659,0.56931,1.20165,0.00107288,0.00107288,0.00107288
38,132.912,0.58569,0.50013,1.09704,0.86894,0.89317,0.92672,0.75978,0.6726,0.60719,1.22053,0.00105638,0.00105638,0.00105638
39,136.332,0.58608,0.47839,1.05866,0.92135,0.88083,0.94389,0.77567,0.66775,0.57431,1.19802,0.00103987,0.00103987,0.00103987
40,139.771,0.59394,0.52288,1.08073,0.91335,0.87383,0.94501,0.78405,0.65401,0.54671,1.16877,0.00102337,0.00102337,0.00102337
41,143.283,0.57113,0.44148,1.07329,0.90075,0.89348,0.93998,0.77042,0.69222,0.5744,1.1824,0.00100687,0.00100687,0.00100687
42,146.725,0.60247,0.47762,1.09718,0.87569,0.92228,0.94131,0.76547,0.72704,0.56757,1.23815,0.000990365,0.000990365,0.000990365
43,150.156,0.58172,0.47146,1.08029,0.91407,0.88184,0.93989,0.79348,0.62385,0.55345,1.14459,0.000973861,0.000973861,0.000973861
44,153.623,0.54676,0.45421,1.07553,0.9668,0.85492,0.93331,0.75656,0.71119,0.57448,1.22176,0.000957358,0.000957358,0.000957358
45,157.137,0.55409,0.45418,1.0651,0.92498,0.87565,0.93752,0.76945,0.6302,0.57256,1.14786,0.000940855,0.000940855,0.000940855
46,160.567,0.58207,0.48183,1.07584,0.91226,0.88601,0.93707,0.7809,0.63436,0.53795,1.15017,0.000924352,0.000924352,0.000924352
47,163.991,0.55661,0.44471,1.06687,0.93102,0.85492,0.95416,0.79727,0.62884,0.53535,1.13753,0.000907848,0.000907848,0.000907848
48,167.426,0.54354,0.43174,1.04458,0.89096,0.90155,0.94066,0.77761,0.65699,0.52434,1.18358,0.000891345,0.000891345,0.000891345
49,170.89,0.5631,0.42209,1.07564,0.88956,0.93264,0.94398,0.78092,0.65012,0.52493,1.18554,0.000874842,0.000874842,0.000874842
50,174.37,0.53479,0.44472,1.06382,0.89093,0.88884,0.93935,0.77859,0.65295,0.52249,1.1644,0.000858338,0.000858338,0.000858338
51,177.805,0.49982,0.39091,1.0343,0.93287,0.88083,0.95024,0.80144,0.619,0.50996,1.14336,0.000841835,0.000841835,0.000841835
52,181.244,0.5608,0.4462,1.08032,0.93032,0.89925,0.95201,0.7943,0.63766,0.50094,1.17222,0.000825332,0.000825332,0.000825332
53,184.679,0.50875,0.42715,1.05188,0.8862,0.94301,0.95892,0.78521,0.65972,0.49829,1.1828,0.000808828,0.000808828,0.000808828
54,188.187,0.52314,0.43493,1.05204,0.91361,0.92746,0.94918,0.79502,0.62897,0.49348,1.14743,0.000792325,0.000792325,0.000792325
55,191.627,0.54208,0.42607,1.05916,0.94687,0.88601,0.94894,0.79948,0.58427,0.48076,1.11623,0.000775822,0.000775822,0.000775822
56,195.06,0.5552,0.39965,1.068,0.91721,0.91845,0.95117,0.8005,0.61958,0.48606,1.12184,0.000759318,0.000759318,0.000759318
57,198.52,0.53378,0.44578,1.06119,0.91308,0.92228,0.94562,0.79036,0.6171,0.52492,1.12596,0.000742815,0.000742815,0.000742815
58,202.041,0.5197,0.403,1.04458,0.91556,0.9171,0.95497,0.81819,0.59338,0.46774,1.13269,0.000726312,0.000726312,0.000726312
59,205.487,0.48428,0.38903,1.03204,0.93601,0.90944,0.94717,0.81205,0.60195,0.45636,1.13812,0.000709809,0.000709809,0.000709809
60,208.915,0.52971,0.41286,1.03988,0.9387,0.87565,0.92778,0.78898,0.60628,0.50553,1.14668,0.000693305,0.000693305,0.000693305
61,212.367,0.50922,0.38737,1.05433,0.92246,0.90674,0.96097,0.80862,0.61132,0.45453,1.11422,0.000676802,0.000676802,0.000676802
62,215.79,0.51601,0.393,1.0491,0.90557,0.89436,0.94212,0.78525,0.62506,0.53731,1.15306,0.000660299,0.000660299,0.000660299
63,219.267,0.52733,0.39245,1.05937,0.90154,0.90674,0.95242,0.81339,0.59595,0.50429,1.11444,0.000643795,0.000643795,0.000643795
64,222.725,0.4953,0.39633,1.03151,0.94106,0.90995,0.95113,0.81754,0.60926,0.46252,1.12348,0.000627292,0.000627292,0.000627292
65,226.143,0.49464,0.39101,1.0398,0.94478,0.88642,0.94423,0.81447,0.59221,0.45445,1.10115,0.000610789,0.000610789,0.000610789
66,229.567,0.50384,0.37765,1.03606,0.91733,0.9199,0.9561,0.81261,0.63375,0.46991,1.14879,0.000594286,0.000594286,0.000594286
67,233.057,0.5189,0.40407,1.05404,0.93571,0.90492,0.95268,0.80905,0.59775,0.46523,1.13112,0.000577782,0.000577782,0.000577782
68,236.511,0.52575,0.3868,1.04611,0.95568,0.8938,0.95539,0.82798,0.54786,0.44241,1.10309,0.000561279,0.000561279,0.000561279
69,239.944,0.47888,0.358,1.03238,0.94305,0.88601,0.94395,0.80881,0.59784,0.47227,1.14664,0.000544776,0.000544776,0.000544776
70,243.368,0.48948,0.35734,1.03341,0.91285,0.92257,0.95947,0.82809,0.56513,0.44577,1.08363,0.000528272,0.000528272,0.000528272
71,246.847,0.4915,0.3788,1.01204,0.93224,0.9171,0.95345,0.82475,0.56527,0.46984,1.07939,0.000511769,0.000511769,0.000511769
72,250.331,0.4782,0.35521,1.04965,0.93263,0.93253,0.96036,0.83161,0.56254,0.43377,1.08859,0.000495266,0.000495266,0.000495266
73,253.763,0.46936,0.35622,1.02005,0.95832,0.87565,0.95185,0.82611,0.55403,0.47698,1.08772,0.000478762,0.000478762,0.000478762
74,257.184,0.47564,0.34968,1.02048,0.97203,0.90023,0.94581,0.8102,0.58647,0.48663,1.13896,0.000462259,0.000462259,0.000462259
75,260.611,0.4685,0.35009,1.00884,0.92499,0.91192,0.9497,0.81387,0.59714,0.47107,1.13542,0.000445756,0.000445756,0.000445756
76,264.123,0.49416,0.46158,1.02589,0.91734,0.93264,0.95953,0.83469,0.5603,0.44538,1.09357,0.000429253,0.000429253,0.000429253
77,267.596,0.44793,0.32427,1.01261,0.94113,0.91121,0.95721,0.83217,0.57184,0.44982,1.09201,0.000412749,0.000412749,0.000412749
78,271.024,0.47496,0.41068,1.03731,0.92696,0.92065,0.95764,0.8315,0.56612,0.43323,1.09882,0.000396246,0.000396246,0.000396246
79,274.441,0.453,0.3362,1.00576,0.93993,0.89174,0.95413,0.83234,0.56762,0.4453,1.10264,0.000379743,0.000379743,0.000379743
80,277.895,0.44841,0.35459,1.00574,0.92176,0.91567,0.95352,0.8247,0.60369,0.4687,1.13935,0.000363239,0.000363239,0.000363239
81,281.375,0.43074,0.32246,0.99396,0.93882,0.9171,0.96294,0.83251,0.57116,0.4441,1.0943,0.000346736,0.000346736,0.000346736
82,284.824,0.46515,0.34042,1.02151,0.93176,0.91192,0.9553,0.82558,0.55762,0.44156,1.09587,0.000330233,0.000330233,0.000330233
83,288.277,0.43129,0.32334,0.98003,0.96127,0.89119,0.9585,0.84029,0.54415,0.4233,1.09679,0.000313729,0.000313729,0.000313729
84,291.72,0.45516,0.33649,1.01572,0.91728,0.9193,0.94526,0.81739,0.56603,0.45855,1.10474,0.000297226,0.000297226,0.000297226
85,295.219,0.45591,0.31728,1.02621,0.94425,0.92228,0.94802,0.81781,0.55806,0.4496,1.11156,0.000280723,0.000280723,0.000280723
86,298.641,0.44509,0.34368,1.01795,0.93273,0.9171,0.94752,0.82207,0.56419,0.44113,1.11529,0.00026422,0.00026422,0.00026422
87,302.073,0.45385,0.32719,1.018,0.9218,0.91615,0.94643,0.81978,0.57696,0.43273,1.11926,0.000247716,0.000247716,0.000247716
88,305.499,0.42233,0.30483,1.00143,0.93109,0.91009,0.94743,0.82291,0.57521,0.43008,1.11471,0.000231213,0.000231213,0.000231213
89,308.997,0.43685,0.32838,0.99943,0.91742,0.921,0.95595,0.8381,0.54748,0.42524,1.08405,0.00021471,0.00021471,0.00021471
90,312.42,0.41716,0.31034,0.97856,0.92696,0.92062,0.95844,0.83747,0.53163,0.42056,1.07024,0.000198206,0.000198206,0.000198206
91,316.255,0.34409,0.25902,0.93203,0.94596,0.90703,0.9665,0.83999,0.53759,0.43459,1.0672,0.000181703,0.000181703,0.000181703
92,319.71,0.32242,0.24337,0.92977,0.94324,0.92228,0.96722,0.83191,0.54343,0.42629,1.08104,0.0001652,0.0001652,0.0001652
93,323.208,0.31575,0.2583,0.91597,0.94902,0.90674,0.96353,0.82914,0.54956,0.43542,1.09179,0.000148696,0.000148696,0.000148696
94,326.614,0.31335,0.22604,0.91448,0.9383,0.90155,0.95541,0.82968,0.54632,0.42806,1.09314,0.000132193,0.000132193,0.000132193
95,330.036,0.30536,0.22723,0.90464,0.94417,0.90155,0.94952,0.83018,0.53889,0.42745,1.08987,0.00011569,0.00011569,0.00011569
96,333.473,0.30448,0.2154,0.90734,0.94164,0.90674,0.95787,0.83544,0.52364,0.44203,1.07371,9.91865e-05,9.91865e-05,9.91865e-05
97,336.887,0.32255,0.23512,0.93751,0.94913,0.90674,0.96032,0.84111,0.51555,0.43351,1.06308,8.26832e-05,8.26832e-05,8.26832e-05
98,340.371,0.28885,0.21312,0.89233,0.94018,0.91192,0.96299,0.84452,0.51185,0.42891,1.05718,6.61799e-05,6.61799e-05,6.61799e-05
99,343.835,0.30222,0.23102,0.92694,0.93351,0.9171,0.961,0.8417,0.51538,0.42395,1.06508,4.96766e-05,4.96766e-05,4.96766e-05
100,347.255,0.29692,0.21956,0.91802,0.94633,0.9171,0.96099,0.83925,0.51417,0.42008,1.06272,3.31733e-05,3.31733e-05,3.31733e-05
