epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.023,0.60355,2.71921,1.17164,0.00761,0.98964,0.61745,0.4687,0.71827,3.34571,1.3029,0.00051677,0.00051677,0.00051677
2,227.68,0.75316,1.91425,1.28743,0.64403,0.48187,0.61823,0.41242,1.02523,2.91753,1.90881,0.000946239,0.000946239,0.000946239
3,345.166,0.818,1.7226,1.33088,0.68883,0.60622,0.64065,0.43613,0.98071,2.695,1.57138,0.00127009,0.00127009,0.00127009
4,457.631,0.75782,1.49655,1.27591,0.74419,0.70844,0.76238,0.53696,0.90322,2.13319,1.46207,0.0011719,0.0011719,0.0011719
5,577.997,0.70599,1.34181,1.23435,0.57976,0.59332,0.58649,0.36065,1.14253,2.38534,1.82161,0.00100687,0.00100687,0.00100687
6,692.218,0.70418,1.28058,1.24846,0.82092,0.81347,0.86969,0.63336,0.89539,1.55442,1.4868,0.000841835,0.000841835,0.000841835
7,810.393,0.64582,1.09488,1.17364,0.88172,0.85492,0.91,0.70272,0.80723,1.23653,1.35201,0.000676802,0.000676802,0.000676802
8,927.362,0.58783,0.98718,1.11547,0.91458,0.83217,0.9164,0.73349,0.73025,1.11179,1.27939,0.000511769,0.000511769,0.000511769
9,1042.11,0.5461,0.88901,1.09723,0.93167,0.84782,0.93588,0.75725,0.66938,1.0175,1.2033,0.000346736,0.000346736,0.000346736
10,1161.16,0.48352,0.80704,1.04375,0.94274,0.85303,0.93448,0.77595,0.6515,0.95676,1.15463,0.000181703,0.000181703,0.000181703
